nobeli,namasup,nilaifak,jumlah,total,kodesup,satauan_brg
BL-452858,ALFA,238800,150,35820000,ALFA,PACK
BL-452859,MADUSARI RT,71000,150,10650000,MS,PACK
BL-452860,ADY CIPTA BAROKAH,240000,150,36000000,ACB,PACK
BL-452861,MONALISA ROTI,105000,150,15750000,MNLS,PACK
BL-452862,BINA SAN PRIMA,86580,150,12987000,BSP,PACK
BL-452863,MINISARI ROTI,132000,150,19800000,MR,PACK
BL-452865,FASTRATA,715336.17,150,107300425.5,FST,PACK
BL-452866,FASTRATA,549637.59,150,82445638.5,FST,PACK
BL-452867,WARDAH PUTRI,864646.7,150,129697005,WP,PACK
BL-452868,WARDAH PUTRI,393357.37,150,59003605.5,WP,PACK
BL-452869,WARDAH PUTRI,2249992.19,150,337498828.5,WP,PACK
BL-452870,WARDAH PUTRI,13266834.59,150,1990025188.5,WP,PACK
BL-452871,MENSA BINASUKSES,119541.75,150,17931262.5,MB,PACK
BL-452872,ANUGRAH ARGON M,160541.52,150,24081228,AAM,PACK
BL-452873,GOLDEN HAND CAKE,850000,150,127500000,GHC,PACK
BL-452874,TANJUNG,1881500,150,282225000,TJG,PACK
BL-452875,DEFA PARFUM,500000,150,75000000,DFP,PACK
BL-452876,FREELINE,212503,150,31875450,FREE,PACK
BL-452877,MURIA MAJU MAKMUR,149000,150,22350000,MMM,PACK
BL-452878,MUSTIKA JAYA,227140,150,34071000,MTKJ,PACK
BL-452879,COCA COLA,169700,150,25455000,CC,PACK
BL-452880,JAYA KOSMETIK,830000,150,124500000,JK,PACK
BL-452881,CLEO,309000,150,46350000,CLEO,PACK
BL-452882,FREELINE,852000,150,127800000,FREE,PACK
BL-452883,TJAHYONO ABADI,524392.86,150,78658929,TA,PACK
BL-452884,FREELINE,360000,150,54000000,FREE,PACK
BL-452885,TANJUNG,1861900,150,279285000,TJG,PACK
BL-452886,FREELINE,758967,150,113845050,FREE,PACK
BL-452887,CUSSON,1244592,150,186688800,CUS,PACK
BL-452888,JAVAS TRIPTA GEMALA,143947,150,21592050,JTG,PACK
BL-452889,USAHA BERKAH,802500,150,120375000,UB,PACK
BL-452890,CV WAHYU JAYA,191000,150,28650000,WJ,PACK
BL-452891,BORWITA,74371,150,11155650,TTW,PACK
BL-452892,KRIDHA MNP,94512.06,150,14176809,KMNP,PACK
BL-452893,TARUNAKUSUMA P,434889.4,150,65233410,TP,PACK
BL-452894,UBA SNACK,162000,150,24300000,UBAS,PACK
BL-452895,PT GONUSA PRIMA DISTRIBUSI,256448.85,150,38467327.5,GPD,PACK
BL-452896,GALAKSI,181096.5,150,27164475,GL,PACK
BL-452897,MUSTIKA JAYA,697504,150,104625600,MTKJ,PACK
BL-452898,TANJUNG,960000,150,144000000,TJG,PACK
BL-452899,FREELINE,540000,150,81000000,FREE,PACK
BL-452900,SARINAH,715000,150,107250000,SRN,PACK
BL-452901,SOZZIS,1877000,150,281550000,SZ,PACK
BL-452902,CV WAHYU JAYA,1375050,150,206257500,WJ,PACK
BL-452903,ULTRAJAYA,755190,150,113278500,UJ,PACK
BL-452904,ANA,750500,150,112575000,ANA,PACK
BL-452905,INDOSCOTS BABY,677000,150,101550000,IBU,PACK
BL-452906,MITRA SARI CL,102150,150,15322500,MSCL,PACK
BL-452907,THONG PERKASA JAYA SENTOSA,328955,150,49343250,TPJ,PACK
BL-452908,PT TIRTA PRIMA RASA BLORA,1113458,150,167018700,BS,PACK
BL-452909,HARLIE CAKE,109000,150,16350000,HC,PACK
BL-452910,CITRA NIAGA KL,19335780.5,150,2900367075,CKL,PACK
BL-452911,DJARUM,1099500,150,164925000,SCM,PACK
BL-452912,SEMESTA ND,379804.02,150,56970603,SND,PACK
BL-452913,JAYA BERHASIL B,24000,150,3600000,JBB,PACK
BL-452914,KRIDHA MNP,119250,150,17887500,KMNP,PACK
BL-452915,SUKUN,598935,150,89840250,SKN,PACK
BL-452916,FREELINE,240000,150,36000000,FREE,PACK
BL-452917,SOLUNA,381000,150,57150000,SKAB,PACK
BL-452918,PERMEN,105000,150,15750000,PRM,PACK
BL-452919,MITRA SARI CL,29700,150,4455000,MSCL,PACK
