nobeli,namasup,nilaifak,jumlah,total,kodesup,satauan_brg
BL-452161,MINISARI ROTI,351000,100,35100000,MR,BUAH
BL-452162,MADUSARI RT,141000,100,14100000,MS,BUAH
BL-452163,PERMEN,200000,100,20000000,PRM,BUAH
BL-452164,FREELINE,370000,30,11100000,FREE,BUAH
BL-452165,ARTA BOGA,1330013,30,39900390,AB,BUAH
BL-452166,TRI USAHA JAYA,3930421.2,30,117912636,TUJ,BUAH
BL-452167,FREELINE,80000,30,2400000,FREE,PACK
BL-452168,JAMBU BRAND PEANUT,599750,30,17992500,JBP,PACK
BL-452169,ADY CIPTA BAROKAH,20000,30,600000,ACB,PACK
BL-452170,CAMPINA ICE CREAM,417615.3,30,12528459,CIC,PACK
BL-452171,SOLUNA,281000,30,8430000,SKAB,PACK
BL-452172,SOSRO,183500,30,5505000,SSRO,PACK
BL-452173,TEH DANDANG,189000,30,5670000,DD,PACK
BL-452174,COCA COLA,475000,30,14250000,CC,PACK
BL-452175,TJAHYONO ABADI,1594268.64,30,47828059.2,TA,PACK
BL-452176,MORODADI,3652142,30,109564260,MD,PACK
BL-452177,PT TIRTA PRIMA RASA BLORA,341670,30,10250100,BS,PACK
BL-452178,FREELINE,240000,30,7200000,FREE,PACK
BL-452179,NATHAN JAYA,1845000,30,55350000,NJY,BUAH
BL-452180,PUTRA SATRIA,8970000,30,269100000,PUSAT,BUAH
BL-452181,SUMBER BAROKAH,240000,30,7200000,SMBR,BUAH
BL-452182,JAVAS TRIPTA GEMALA,373362,78,29122236,JTG,BUAH
BL-452183,EFATA ROTI,32000,98,3136000,EFT,BUAH
BL-452184,MUSTIKA JAYA,918167.33,78,71617051.74,MTKJ,BUAH
BL-452185,YAKULT,113000,65,7345000,Y,BUAH
BL-452186,SUMBER PELITA MATARAM,302364,67,20258388,SPM,BUAH
BL-452187,CV WAHYU JAYA,177100,65,11511500,WJ,BUAH
BL-452188,PERMEN,336025,300,100807500,PRM,BUAH
BL-452189,GALAKSI,283817.76,100,28381776,GL,BUAH
BL-452190,GALAKSI,1153485.36,100,115348536,GL,BUAH
BL-452191,GALAKSI,877887.9,100,87788790,GL,BUAH
BL-452192,SEMESTA ND,172484.01,89,15351076.89,SND,BUAH
BL-452193,SEMESTA ND,264631.6,42,11114527.2,SND,BUAH
BL-452194,SEMESTA ND,89561.46,4,358245.84,SND,BUAH
BL-452195,SEMESTA ND,71999.04,24,1727976.96,SND,BUAH
BL-452196,UBA SNACK,234000,34,7956000,UBAS,BUAH
BL-452197,ANA,629000,98,61642000,ANA,BUAH
BL-452198,ULTRAJAYA,1138500,76,86526000,UJ,BUAH
BL-452199,TJAHYONO ABADI,274125.6,87,23848927.2,TA,BUAH
BL-452200,TJAHYONO ABADI,169830,56,9510480,TA,BUAH
BL-452201,TJAHYONO ABADI,219025.2,44,9637108.8,TA,BUAH
BL-452202,TJAHYONO ABADI,1049849.1,5,5249245.5,TA,BUAH
BL-452203,TJAHYONO ABADI,378609.88,35,13251345.8,TA,BUAH
BL-452204,GERABAH KHORI,923000,453,418119000,GK,BUAH
BL-452205,SINAR ABADI,868536,33,28661688,SAB,BUAH
BL-452206,BORWITA,257901,321,82786221,TTW,BUAH
BL-452207,MITRA SARI CL,38250,31,1185750,MSCL,BUAH
BL-452208,JAS HUJAN,3344250,23,76917750,JH,BUAH
BL-452209,FREELINE,121588,1,121588,FREE,BUAH
BL-452210,CV WAHYU JAYA,1150350,23,26458050,WJ,BUAH
BL-452211,AZKA,717000,231,165627000,NKMT,BUAH
BL-452212,USAHA BERKAH,676000,23,15548000,UB,BUAH
BL-452213,FREELINE,180000,21,3780000,FREE,BUAH
BL-452214,INDOMARCO,3172200,22,69788400,IDM,BUAH
BL-452215,SUKUN,1151975,23,26495425,SKN,BUAH
BL-452216,DWI JAYA,405500,23,9326500,DJ,BUAH
BL-452217,FREELINE,4280000,25,107000000,FREE,BUAH
BL-452218,KRIDHA MNP,152987.97,25,3824699.25,KMNP,BUAH
BL-452219,DJARUM,1565000,25,39125000,SCM,BUAH
BL-452220,PRAMUKA,618000,25,15450000,PRMK,BUAH
BL-452221,FREELINE,142500,25,3562500,FREE,BUAH
BL-452222,PERMEN,190000,25,4750000,PRM,BUAH
BL-452223,TIGA RAKSA SATRIA,497676,25,12441900,TG,BUAH
BL-452224,FREELINE,1513998,25,37849950,FREE,BUAH
BL-452225,SAPUTRO ABADI,206887.35,25,5172183.75,SAK,BUAH
BL-452226,PT TEMPO,158100,25,3952500,TMP,BUAH
BL-452227,PT ENSEVAL PM,1588807,25,39720175,EPM,BUAH
BL-452228,INDOMARCO,2456197,25,61404925,IDM,BUAH
BL-452229,TRI USAHA JAYA,219837.72,25,5495943,TUJ,BUAH
BL-452230,TRI USAHA JAYA,982402.73,25,24560068.25,TUJ,BUAH
BL-452231,TRI USAHA JAYA,296901.69,25,7422542.25,TUJ,BUAH
BL-452232,FREELINE,1296222,25,32405550,FREE,BUAH
BL-452233,BINTANG ARIEF,2115000,25,52875000,ALM,BUAH
BL-452234,POCARI SWEAT,539500,25,13487500,PS,BUAH
BL-452235,GAWIH JAYA,264100,25,6602500,GJ,BUAH
BL-452236,AIR MANCUR,1484000,134,198856000,AM,BUAH
BL-452237,NIKMAT,1400000,134,187600000,NMT,BUAH
BL-452238,VENUS,319000,134,42746000,VNS,BUAH
BL-452239,PT GUNUNG SUBUR,137598.93,134,18438256.62,GN,BUAH
BL-452240,SINAR BAKERI,286000,134,38324000,SNB,BUAH
BL-452241,GABREZ STIKER,40000,134,5360000,GZ,BUAH
BL-452242,FREELINE,1840000,134,246560000,FREE,BUAH
BL-452243,MICKEY SNACK,2040000,134,273360000,MCKY,BUAH
BL-452244,SURYA MADISTRINDO,1285000,134,172190000,SM,BUAH
BL-452245,ROTI KITA,156000,134,20904000,RK,BUAH
BL-452246,MITRA SEHATI SEKATA,891294,134,119433396,MSS,BUAH
BL-452247,MITRA SEHATI SEKATA,450630,134,60384420,MSS,BUAH
BL-452248,RIZKY SNACK,257000,134,34438000,RIZKY,BUAH
BL-452249,JAYA BERHASIL B,1940374.35,134,260010162.9,JBB,BUAH
BL-452250,SARINAH,650000,134,87100000,SRN,BUAH
BL-452251,TIGA RAKSA SATRIA,510009.48,134,68341270.32,TG,BUAH
BL-452252,PT HM SAMPOERNA TBK,1141700,134,152987800,SPRN,BUAH
BL-452253,INDOCAFE,943550,134,126435700,IDC,BUAH
BL-452254,INDOCAFE,391260,134,52428840,IDC,BUAH
BL-452255,CITRA NIAGA KL,6659478,134,892370052,CKL,BUAH
BL-452256,FASTRATA,808070.01,134,108281381.34,FST,BUAH
BL-452257,SASA,310500,134,41607000,SASA,BUAH
BL-452258,PT SUKA SARI,123000,134,16482000,PT SS,BUAH
BL-452259,ANUGERAH JAYA,172000,134,23048000,MM,BUAH
BL-452260,ANUGERAH JAYA,406459,134,54465506,MM,BUAH
BL-452261,ANUGERAH JAYA,2353930.5,134,315426687,MM,BUAH
BL-452262,FREELINE,523750,134,70182500,FREE,BUAH
BL-452263,MAKIN JAYA,440999,134,59093866,MK,BUAH
BL-452264,YAKULT,539500,134,72293000,Y,BUAH
BL-452265,PT KOREA TOMORROW,531500,134,71221000,15,BUAH
BL-452266,SURYA KS,1023770,134,137185180,PTSKS,BUAH
BL-452267,MULIA SEJAHTERA,785976,134,105320784,SNS,BUAH
BL-452268,FREELINE,416938.98,134,55869823.32,FREE,BUAH
BL-452269,WARDAH PUTRI,1285192.62,134,172215811.08,WP,BUAH
BL-452270,WARDAH PUTRI,4943728.64,134,662459637.76,WP,BUAH
BL-452271,PT DISTRIVERSA BUANA MAS,603285,134,80840190,DBM,BUAH
BL-452272,FREELINE,320000,134,42880000,FREE,BUAH
BL-452273,PT SAI INDONESIA,782199.24,134,104814698.16,SAI,BUAH
BL-452274,MONALISA ROTI,116000,134,15544000,MNLS,BUAH
BL-452275,KELINCI MAS,362000,134,48508000,KM,BUAH
BL-452276,TARUNAKUSUMA P,246082.56,134,32975063.04,TP,BUAH
BL-452277,FREELINE,1284904,134,172177136,FREE,BUAH
BL-452278,ADY CIPTA BAROKAH,605000,134,81070000,ACB,BUAH
BL-452279,MADUSARI RT,130000,134,17420000,MS,BUAH
BL-452280,ATK,3486227,134,467154418,ATK,BUAH
BL-452281,MINISARI ROTI,352000,134,47168000,MR,BUAH
BL-452282,FREELINE,320220,134,42909480,FREE,BUAH
BL-452283,COCA COLA,288300,134,38632200,CC,BUAH
BL-452284,PT TIRTA PRIMA RASA BLORA,484266.1,134,64891657.4,BS,BUAH
BL-452285,PERMEN,110000,134,14740000,PRM,BUAH
BL-452286,MORODADI,2118250,134,283845500,MD,BUAH
BL-452287,DEFA PARFUM,489000,134,65526000,DFP,BUAH
BL-452288,CLEO,225000,134,30150000,CLEO,BUAH
BL-452289,FREELINE,434400,134,58209600,FREE,BUAH
BL-452290,FREELINE,360000,134,48240000,FREE,BUAH
BL-452291,PT K33 DISTRIBUSI,309536.82,134,41477933.88,K33,BUAH
BL-452292,MUSTIKA JAYA,1500000,134,201000000,MTKJ,BUAH
BL-452293,MUSTIKA JAYA,394766,134,52898644,MTKJ,BUAH
BL-452294,MUSTIKA JAYA,605980,134,81201320,MTKJ,BUAH
BL-452295,SUMBER BAROKAH,995000,134,133330000,SMBR,BUAH
BL-452296,ARIETA FOODS,760000,134,101840000,AF,BUAH
BL-452297,FREELINE,500000,134,67000000,FREE,BUAH
BL-452298,FREELINE,288000,134,38592000,FREE,BUAH
BL-452299,CV WAHYU JAYA,1334300,134,178796200,WJ,BUAH
BL-452300,EFATA ROTI,688000,134,92192000,EFT,BUAH
BL-452301,PERMEN,526000,134,70484000,PRM,BUAH
BL-452302,AZKA,985000,134,131990000,NKMT,BUAH
BL-452303,CITRA NIAGA KL,18108206.82,134,2426499713.88,CKL,BUAH
BL-452304,SUKUN,511980,134,68605320,SKN,PACK
BL-452305,TJAHYONO ABADI,364968,134,48905712,TA,PACK
BL-452306,SOSRO,129756.78,134,17387408.52,SSRO,PACK
BL-452307,SARI RASA,14850,134,1989900,SRRS,PACK
BL-452308,AE JAYA BATU,240000,134,32160000,AE,PACK
BL-452309,DJARUM,1875500,134,251317000,SCM,PACK
BL-452310,FREELINE,413000,134,55342000,FREE,PACK
BL-452311,SOZZIS,885000,134,118590000,SZ,PACK
BL-452312,SO GOOD FOOD,683508.4,134,91590125.6,S G,PACK
BL-452313,MUSTIKA JAYA,1554900,134,208356600,MTKJ,PACK
BL-452314,INDOMARCO,1671077,134,223924318,IDM,PACK
BL-452315,INDOMARCO,767977,134,102908918,IDM,PACK
BL-452316,FREELINE,110000,134,14740000,FREE,PACK
BL-452317,FREELINE,595000,134,79730000,FREE,PACK
BL-452318,PINUS MERAH ABADI,298108.99,134,39946604.66,PT PM,PACK
BL-452319,FASTRATA,290282.76,134,38897889.84,FST,PACK
BL-452320,PT KOREA TOMORROW,510000,134,68340000,15,PACK
BL-452321,NIAGA NUSA ABADI,433000,134,58022000,NNA,PACK
BL-452322,SUMBER PELITA MATARAM,302364,134,40516776,SPM,PACK
BL-452323,SASA,288000,134,38592000,SASA,PACK
BL-452324,ROTI KITA,131000,134,17554000,RK,PACK
BL-452325,FREELINE,626500,134,83951000,FREE,PACK
BL-452326,ULTRAJAYA,490500,134,65727000,UJ,PACK
BL-452327,TARUNAKUSUMA P,605827.82,134,81180927.88,TP,PACK
BL-452328,PINUS MERAH ABADI,475107.47,134,63664400.98,PT PM,PACK
BL-452329,UD SUKA CITA,550000,134,73700000,SC,PACK
BL-452330,PT TIRTA PRIMA RASA BLORA,343568,134,46038112,BS,PACK
BL-452331,GALAKSI,63909.36,134,8563854.24,GL,PACK
BL-452332,ZAKITA,7413000,134,993342000,ZKT,PACK
BL-452333,FREELINE,686000,134,91924000,FREE,PACK
BL-452334,TANJUNG,2036150,134,272844100,TJG,PACK
BL-452335,DWI JAYA,488700,134,65485800,DJ,PACK
BL-452336,USAHA BERKAH,6357000,134,851838000,UB,PACK
BL-452337,"TOKO ""MIDA""AF",1813000,134,242942000,MIDA,PACK
BL-452338,UD SUPARTI PUTRI,4087000,134,547658000,USP,PACK
BL-452339,FREELINE,2504549,134,335609566,FREE,PACK
BL-452340,JAS HUJAN,2700500,134,361867000,JH,PACK
BL-452341,TANJUNG,593500,134,79529000,TJG,PACK
BL-452342,COCA COLA,388300,134,52032200,CC,PACK
BL-452343,ZAKITA,1817000,134,243478000,ZKT,PACK
BL-452344,GERABAH KHORI,2016000,134,270144000,GK,PACK
BL-452345,LESTARI SNACK,820000,134,109880000,LSTR,PACK
BL-452346,TOKO KITA BARU,1356000,134,181704000,KB,PACK
BL-452347,EFATA ROTI,156000,134,20904000,EFT,PACK
BL-452348,PERMEN,718000,134,96212000,PRM,PACK
BL-452349,SUKUN,379635,134,50871090,SKN,PACK
BL-452350,SOZZIS,1415000,134,189610000,SZ,PACK
BL-452351,ARDINI,1147500,134,153765000,ARD,PACK
